"text","id_str","retweet","user_location","place_full_name","location","team_count","sentiment","HasNFLTeam","FanSentiment"
"Sad that I'll miss the game dur to work, but I feel like we got this. let's make it 10-3 on the season #GoPackGo #WASvsGB",1203733281000361984,"False","Brownsville, TX","","TX",2,"negative","Yes","Foe"
"Happy to be back on the same side as @AaronNagler today after yesterday’s brief OSU-Bucky split.  #GoPackGo",1203733071410978816,"False","Avon, IN","","IN",1,"positive","Yes","Fan"
"I NEED A LINK FOR THE GAME PLEASE!!! #GoPackGo #WASvsGB",1203732961369169920,"False","Corpus Christi, TX","","TX",2,"negative","Yes","Foe"
"Game day #GoPackGo 💚💛",1203732952670097408,"False","Bellflower, CA","","CA",4,"negative","Yes","Foe"
"@packers Zürich, Switzerland thanks to a business trip 💚💛🧀🏈 #GoPackGo",1203732609202827264,"False","Boston, MA","Opfikon, Schweiz","MA",1,"positive","Yes","Fan"
"These are 💯🙌🔥

Thank you @813Geronimo for dedicating your game today to our athletes! #ChooseToInclude… https://t.co/DQ8NfvRVmi",1203731756307890176,"False","Washington, DC","","WA",1,"negative","Yes","Foe"
"The #Packers have eight games with zero turnovers this season -- the only other team in the past 60 years to have z… https://t.co/JCLyBfV8BI",1203731383472050176,"False","West Chester, Pennsylvania","","PA",2,"negative","Yes","Foe"
"Which WR puts up the most fantasy points? 🏆

#Saints #ChiefsKingdom #GoPackGo #Skol
#NFL #DFS #DraftKings #FanDuel",1203731372398931968,"False","San Diego, CA","","CA",4,"positive","Yes","Fan"
"Gettin ready for ya Skins!!!!!

#GOPACKGO #Luckyorangesoda #Beattheskins #suckstobeChrisDouglas… https://t.co/JdIXcbdKAy",1203730972262502400,"False","Richmond, VA","","VA",0,"positive","No","Fan"
"*****GAME LINK #WASvsGB*****

                 #GoPackGo 

https://t.co/caUOrPpy1A",1203730743983312896,"False","Texas, USA","","TX",2,"negative","Yes","Foe"
"@mattramage Omg so damn jealous right now!! Enjoy that shit! #GoPackGo 💚🏈💛",1203729895181950976,"False","Illinois, USA","","IL",1,"positive","Yes","Fan"
"QB1 wants us to Drink some PBR? Everything for a win...💚💛 @AaronRodgers12

#GoPackGo #ranNFL https://t.co/NgdweDDCrO",1203729833446051840,"False","Michigan, USA","","MI",1,"positive","Yes","Fan"
"@jolaurit I can see @eriknorlund first row sec 137 in this pic. Rockin' the Favre jersey today!  #GoPackGo",1203729346571251712,"False","Rockford, MN","Plymouth, MN","MN",1,"positive","Yes","Fan"
"Gussy is ready for the game!! #GoPackGo #RuffLife @ Kingsford, Michigan https://t.co/eh14mmZNWz",1203729287108542464,"False","Michigan, USA","Kingsford, MI","MI",1,"negative","Yes","Foe"
"What a lovely site it is! #GoPackGo https://t.co/UShc1vZViy",1203729196331212800,"False","Jacksonville, FL","","FL",3,"positive","Yes","Fan"
"Almost game time!!! #GoPackGo 💛🏈💚",1203728958853976064,"False","Chicago, IL","","IL",1,"negative","Yes","Foe"
